index,trace_p,trace_r,trace_f1,trace_aupr,event_p,event_r,event_f1,event_aupr,attr_p,attr_r,attr_f1,attr_aupr,time
gigantic-0.05-1.json.gz,0.6666666666666666,0.6083333333333333,0.6361655773420479,0.5971361362213371,0.6340579710144928,0.3747323340471092,0.4710632570659488,0.3775391361713778,0.4536082474226804,0.4322200392927308,0.4426559356136821,0.3295256706144325,64.78712916374207
gigantic-0.05-1.json.gz,0.6867469879518072,0.7125,0.6993865030674846,0.696345181028911,0.6430769230769231,0.4475374732334047,0.5277777777777778,0.4416443262880637,0.6363636363636364,0.412573673870334,0.5005959475566151,0.3956970209720465,66.69084930419922
p2p-0.05-1.json.gz,0.8532110091743119,0.6863468634686347,0.7607361963190185,0.8192407934200432,0.85,0.4399260628465804,0.5797807551766139,0.5782919635155561,0.5050651230101303,0.5768595041322314,0.5385802469135803,0.4978966607446662,59.42837047576904
BPIC12-0.05.json.gz,0.465034965034965,0.2269624573378839,0.305045871559633,0.2739665994905509,0.3815789473684211,0.1338873499538319,0.1982228298017772,0.1559489166911599,0.3815789473684211,0.1338873499538319,0.1982228298017772,0.1559489166911599,666.7799429893494
BPIC12-0.10.json.gz,0.6595022624434389,0.5413184772516249,0.5945945945945946,0.6422514224368501,0.536996336996337,0.3520653218059558,0.4252973600232085,0.3757619765976757,0.536996336996337,0.3520653218059558,0.4252973600232085,0.3757619765976757,640.8055882453918
BPIC12-0.15.json.gz,0.7001114827201784,0.7994907702100573,0.7465081723625557,0.7245034709439298,0.6106743897393463,0.4944723618090452,0.5464642724916698,0.4395535072038842,0.6106743897393463,0.4944723618090452,0.5464642724916698,0.4395535072038842,636.1567091941833
BPIC12-0.20.json.gz,0.6255835667600373,0.935754189944134,0.7498601007274762,0.7688706833180169,0.5588803088803089,0.561046511627907,0.5599613152804642,0.457069406611593,0.5588803088803089,0.561046511627907,0.5599613152804642,0.457069406611593,648.3349261283875
BPIC12-0.25.json.gz,0.5939110070257612,0.9015286171347316,0.7160807567414939,0.7515506166642301,0.5044515669515669,0.5257980697847068,0.514903671392221,0.4300641801109189,0.5044515669515669,0.5257980697847068,0.514903671392221,0.4300641801109189,656.964152097702
BPIC12-0.30.json.gz,0.6058676370252445,0.8283582089552238,0.6998555103113095,0.6977043598434556,0.5143052938153161,0.4892438070404172,0.5014616219827945,0.4035318860063499,0.5143052938153161,0.4892438070404172,0.5014616219827945,0.4035318860063499,649.2625234127045
BPIC12-0.35.json.gz,0.5856894645395672,0.9750197212726794,0.7317939609236235,0.6127981513267085,0.4251107828655834,0.5866286180187525,0.4929770469338815,0.321353710798936,0.4251107828655834,0.5866286180187525,0.4929770469338815,0.321353710798936,645.5984361171722
BPIC12-0.40.json.gz,0.5659239842726081,0.9813636363636364,0.7178719866999169,0.7513813533954918,0.4356943961016359,0.5891974582254648,0.5009504752376188,0.4259689872919174,0.4356943961016359,0.5891974582254648,0.5009504752376188,0.4259689872919174,641.2442760467529
BPIC12-0.45.json.gz,0.7141314131413141,0.8162551440329218,0.7617858857417186,0.8382929881831258,0.5812122802414065,0.4746598092789028,0.5225597168976703,0.489327137579973,0.5812122802414065,0.4746598092789028,0.5225597168976703,0.489327137579973,651.4367890357971
BPIC13_closed_problems-0.05.json.gz,,,,,,,,,,,,,
BPIC13_closed_problems-0.10.json.gz,,,,,,,,,,,,,
BPIC13_closed_problems-0.15.json.gz,,,,,,,,,,,,,
BPIC13_closed_problems-0.20.json.gz,,,,,,,,,,,,,
BPIC13_closed_problems-0.25.json.gz,,,,,,,,,,,,,
BPIC13_closed_problems-0.30.json.gz,,,,,,,,,,,,,
BPIC13_closed_problems-0.35.json.gz,,,,,,,,,,,,,
BPIC13_closed_problems-0.40.json.gz,,,,,,,,,,,,,
BPIC13_closed_problems-0.45.json.gz,,,,,,,,,,,,,
BPIC13_open_problems-0.05.json.gz,,,,,,,,,,,,,
BPIC13_open_problems-0.10.json.gz,,,,,,,,,,,,,
BPIC13_open_problems-0.15.json.gz,,,,,,,,,,,,,
BPIC13_open_problems-0.20.json.gz,,,,,,,,,,,,,
BPIC13_open_problems-0.25.json.gz,,,,,,,,,,,,,
BPIC13_open_problems-0.30.json.gz,,,,,,,,,,,,,
