index,trace_p,trace_r,trace_f1,trace_aupr,event_p,event_r,event_f1,event_aupr,attr_p,attr_r,attr_f1,attr_aupr,time
gigantic-0.05-1.json.gz,1,0.454166667,0.624641834,0.482863778,0,0,0,0,0,0,0,0,1044.290054
gigantic-0.05-1.json.gz,1,0.45,0.620689655,0.480940727,0,0,0,0,0,0,0,0,1144.972007
p2p-0.05-1.json.gz,0.290794979,0.512915129,0.371161549,0.33481065,0,0,0,0,0,0,0,0,215.6424997
BPIC13_closed_problems-0.05.json.gz,0.159574468,0.234375,0.189873418,0.120530381,0,0,0,0,0,0,0,0,31.02577758
BPIC13_closed_problems-0.10.json.gz,0.201492537,0.254716981,0.225,0.135679326,0,0,0,0,0,0,0,0,31.78106427
BPIC13_closed_problems-0.15.json.gz,0.188605108,0.492307692,0.272727273,0.196451359,0,0,0,0,0,0,0,0,32.68424582
BPIC13_closed_problems-0.20.json.gz,0.248015873,0.508130081,0.333333333,0.260538228,0,0,0,0,0,0,0,0,35.81117058
BPIC13_closed_problems-0.25.json.gz,0.348697395,0.525679758,0.419277108,0.356507844,0,0,0,0,0,0,0,0,35.61437297
BPIC13_closed_problems-0.30.json.gz,0.347445255,0.621409922,0.445692884,0.408493353,0,0,0,0,0,0,0,0,35.43419433
BPIC13_closed_problems-0.35.json.gz,0.37804878,0.662707838,0.481449525,0.413567688,0,0,0,0,0,0,0,0,34.75220871
BPIC13_closed_problems-0.40.json.gz,0.407258065,0.628630705,0.494290375,0.423749998,0,0,0,0,0,0,0,0,34.71410608
BPIC13_closed_problems-0.45.json.gz,0.38130464,1,0.552093476,0.471177671,0,0,0,0,0,0,0,0,34.28506708
BPIC13_open_problems-0.05.json.gz,0.030549898,0.625,0.058252427,0.027830074,0,0,0,0,0,0,0,0,10.63677549
BPIC13_open_problems-0.10.json.gz,0.155844156,0.285714286,0.201680672,0.09504948,0,0,0,0,0,0,0,0,10.60424924
BPIC13_open_problems-0.15.json.gz,0.258823529,0.265060241,0.261904762,0.146531934,0,0,0,0,0,0,0,0,11.11764479
BPIC13_open_problems-0.20.json.gz,0.241830065,0.355769231,0.287937743,0.169892394,0,0,0,0,0,0,0,0,10.97159648
BPIC13_open_problems-0.25.json.gz,0.276470588,0.385245902,0.321917808,0.188579231,0,0,0,0,0,0,0,0,11.03063297
BPIC13_open_problems-0.30.json.gz,0.341176471,0.34939759,0.345238095,0.260279544,0,0,0,0,0,0,0,0,10.82406926
BPIC13_open_problems-0.35.json.gz,0.407608696,0.426136364,0.416666667,0.298480407,0,0,0,0,0,0,0,0,10.36920595
BPIC13_open_problems-0.40.json.gz,0.264957265,1,0.418918919,0.352924926,0,0,0,0,0,0,0,0,10.99195242
BPIC13_open_problems-0.45.json.gz,0.378082192,0.577405858,0.456953642,0.404577742,0,0,0,0,0,0,0,0,13.28414035
BPIC12-0.05.json.gz,0.259689922,0.228668942,0.243194192,0.172961762,0,0,0,0,0,0,0,0,685.6982636
BPIC12-0.10.json.gz,0.217637083,0.357474466,0.270555165,0.181392277,0,0,0,0,0,0,0,0,662.421783
BPIC12-0.15.json.gz,0.335403727,0.41247613,0.369968598,0.251626781,0,0,0,0,0,0,0,0,677.8968081
BPIC12-0.20.json.gz,0.416548463,0.410148976,0.41332395,0.301071949,0,0,0,0,0,0,0,0,660.6080298
BPIC12-0.25.json.gz,0.504567203,0.412371134,0.453834116,0.353162587,0,0,0,0,0,0,0,0,663.2593749
BPIC12-0.30.json.gz,0.245740047,1,0.394528614,0.27582845,0,0,0,0,0,0,0,0,677.3228574
BPIC12-0.35.json.gz,0.290615925,1,0.4503523,0.370558899,0,0,0,0,0,0,0,0,673.2823372
BPIC12-0.40.json.gz,0.336443595,0.999772727,0.503462089,0.460198341,0,0,0,0,0,0,0,0,674.1831744
BPIC12-0.45.json.gz,0.371529106,0.999382716,0.541682931,0.486545713,0,0,0,0,0,0,0,0,672.7314043
BPIC13_closed_problems-0.05.json.gz,0.169014085,0.1875,0.177777778,0.114830298,0,0,0,0,0,0,0,0,31.53488827
BPIC13_closed_problems-0.10.json.gz,0.225,0.254716981,0.238938053,0.146001937,0,0,0,0,0,0,0,0,33.79061174
BPIC13_closed_problems-0.15.json.gz,0.210743802,0.523076923,0.300441826,0.204269555,0,0,0,0,0,0,0,0,34.31436801
BPIC13_closed_problems-0.20.json.gz,0.227206946,0.638211382,0.33511206,0.249541135,0,0,0,0,0,0,0,0,33.97016215
BPIC13_closed_problems-0.25.json.gz,0.335216573,0.53776435,0.412993039,0.364495934,0,0,0,0,0,0,0,0,34.65442348
BPIC13_closed_problems-0.30.json.gz,0.339385475,0.634464752,0.4422202,0.399227546,0,0,0,0,0,0,0,0,34.44471717
BPIC13_closed_problems-0.35.json.gz,0.382147838,0.650831354,0.481546573,0.411457704,0,0,0,0,0,0,0,0,34.62830091
BPIC13_closed_problems-0.40.json.gz,0.411684783,0.628630705,0.497536946,0.432435771,0,0,0,0,0,0,0,0,35.14857697
BPIC13_closed_problems-0.45.json.gz,0.38130464,1,0.552093476,0.471005316,0,0,0,0,0,0,0,0,34.9643929
BPIC13_open_problems-0.05.json.gz,1,0.041666667,0.08,0.066482561,0,0,0,0,0,0,0,0,10.76359224
BPIC13_open_problems-0.10.json.gz,0.186046512,0.380952381,0.25,0.098499062,0,0,0,0,0,0,0,0,10.75322795
BPIC13_open_problems-0.15.json.gz,0.178947368,0.409638554,0.249084249,0.137796213,0,0,0,0,0,0,0,0,11.35259008
BPIC13_open_problems-0.20.json.gz,0.209424084,0.384615385,0.271186441,0.18889304,0,0,0,0,0,0,0,0,11.38155246
BPIC13_open_problems-0.25.json.gz,0.300699301,0.352459016,0.324528302,0.214560362,0,0,0,0,0,0,0,0,11.19159937
BPIC13_open_problems-0.30.json.gz,0.342541436,0.373493976,0.357348703,0.269825372,0,0,0,0,0,0,0,0,11.32875562
BPIC13_open_problems-0.35.json.gz,0.409326425,0.448863636,0.428184282,0.314184392,0,0,0,0,0,0,0,0,11.13703489
BPIC13_open_problems-0.40.json.gz,0.264957265,1,0.418918919,0.323155103,0,0,0,0,0,0,0,0,11.13162971
