index,trace_p,trace_r,trace_f1,trace_aupr,event_p,event_r,event_f1,event_aupr,attr_p,attr_r,attr_f1,attr_aupr,time
gigantic-0.05-1.json.gz,0.048167970358172,0.975,0.0918007061592781,0.0422696603257067,0,0,0,0,0,0,0,0,84.40881633758545
gigantic-0.05-1.json.gz,0.0492320639596044,0.975,0.0937312237131984,0.0443319421719188,0,0,0,0,0,0,0,0,86.71554064750671
p2p-0.05-1.json.gz,0.0550873586844809,0.988929889298893,0.1043613707165109,0.0475062852390306,0,0,0,0,0,0,0,0,47.61162734031677
BPIC12-0.05.json.gz,0.0448299685269056,0.9965870307167236,0.0858003379122897,0.0400651134725485,0,0,0,0,0,0,0,0,1689.8849067687988
BPIC12-0.10.json.gz,0.0825418886572465,0.9925719591457752,0.1524094667807242,0.0724047538108461,0,0,0,0,0,0,0,0,1897.680290699005
BPIC12-0.15.json.gz,0.1201318613922109,0.9974538510502864,0.2144372220321587,0.1108588049992297,0,0,0,0,0,0,0,0,1932.7732846736908
BPIC12-0.20.json.gz,0.1641448876662081,1.0,0.2820007877116975,0.1512392511283493,0,0,0,0,0,0,0,0,1911.6104412078853
BPIC12-0.25.json.gz,0.2150282831371349,1.0,0.3539477823214847,0.2031234393026252,0,0,0,0,0,0,0,0,1940.0550589561465
BPIC12-0.30.json.gz,0.2457588262265016,1.0,0.3945528156054472,0.2174843900254234,0,0,0,0,0,0,0,0,1938.3543601036072
BPIC12-0.35.json.gz,0.2905937189577443,1.0,0.4503256364712847,0.2632006634807198,0,0,0,0,0,0,0,0,1976.4131858348849
BPIC12-0.40.json.gz,0.336237200061134,1.0,0.503259750657669,0.3039309048917825,0,0,0,0,0,0,0,0,1905.0053730010984
BPIC12-0.45.json.gz,0.3713979974012076,0.9997942386831276,0.5416039681212729,0.3489213865955864,0,0,0,0,0,0,0,0,1907.01499080658
BPIC13_closed_problems-0.05.json.gz,0.0758928571428571,0.265625,0.1180555555555555,0.0615279642009629,0,0,0,0,0,0,0,0,29.12511706352234
BPIC13_closed_problems-0.10.json.gz,0.0763606823720552,0.8867924528301887,0.1406133133881824,0.0775748080552306,0,0,0,0,0,0,0,0,29.32259202003479
BPIC13_closed_problems-0.15.json.gz,0.1360182370820668,0.917948717948718,0.2369291859695565,0.1500532671783721,0,0,0,0,0,0,0,0,31.30747127532959
BPIC13_closed_problems-0.20.json.gz,0.1681660899653979,0.9878048780487804,0.2874039030159669,0.16417263531346,0,0,0,0,0,0,0,0,26.084945678710938
BPIC13_closed_problems-0.25.json.gz,0.2234976367319378,1.0,0.3653421633554083,0.2376882677480244,0,0,0,0,0,0,0,0,27.135027408599854
BPIC13_closed_problems-0.30.json.gz,0.2645614035087719,0.9843342036553524,0.4170353982300885,0.267345128506981,0,0,0,0,0,0,0,0,29.848074674606323
BPIC13_closed_problems-0.35.json.gz,0.287292817679558,0.98812351543943,0.4451578384162654,0.2935258363054869,0,0,0,0,0,0,0,0,25.96832656860352
BPIC13_closed_problems-0.40.json.gz,0.325,0.9979253112033196,0.490316004077472,0.3530772833373522,0,0,0,0,0,0,0,0,28.7418372631073
BPIC13_closed_problems-0.45.json.gz,0.3813046402151984,1.0,0.5520934761441091,0.4006252418032248,0,0,0,0,0,0,0,0,30.02176308631897
BPIC13_open_problems-0.05.json.gz,0.0324858757062146,0.9583333333333334,0.0628415300546448,0.0268938877941611,0,0,0,0,0,0,0,0,11.924248933792114
BPIC13_open_problems-0.10.json.gz,0.0603448275862069,0.8333333333333334,0.112540192926045,0.0639354579528878,0,0,0,0,0,0,0,0,12.461435317993164
BPIC13_open_problems-0.15.json.gz,0.130242825607064,0.7108433734939759,0.2201492537313432,0.1379140450910164,0,0,0,0,0,0,0,0,12.748660564422607
BPIC13_open_problems-0.20.json.gz,0.1379310344827586,0.8846153846153846,0.238651102464332,0.138786406608849,0,0,0,0,0,0,0,0,12.653955459594728
BPIC13_open_problems-0.25.json.gz,0.1849148418491484,0.6229508196721312,0.2851782363977486,0.1650640222681232,0,0,0,0,0,0,0,0,15.618630409240724
BPIC13_open_problems-0.30.json.gz,0.2059925093632958,0.993975903614458,0.3412616339193381,0.2108069783443952,0,0,0,0,0,0,0,0,16.753466844558716
BPIC13_open_problems-0.35.json.gz,0.2163164400494437,0.9943181818181818,0.3553299492385786,0.2600404328473995,0,0,0,0,0,0,0,0,17.051126956939697
BPIC13_open_problems-0.40.json.gz,0.2684478371501272,0.9723502304147466,0.4207377866400797,0.2646032602886253,0,0,0,0,0,0,0,0,16.05488109588623
BPIC13_open_problems-0.45.json.gz,0.2932515337423312,1.0,0.4535104364326375,0.3164360627893765,0,0,0,0,0,0,0,0,13.494664669036863
BPIC15_1-0.05.json.gz,0.0640569395017793,0.7941176470588235,0.1185510428100988,0.0539358974653572,0,0,0,0,0,0,0,0,404.77404975891113
BPIC15_1-0.10.json.gz,0.1005338078291814,0.9658119658119658,0.1821112006446414,0.0873466218647936,0,0,0,0,0,0,0,0,420.6941120624542
BPIC15_1-0.15.json.gz,0.1527647610121837,0.9367816091954024,0.2626913779210314,0.149215364379687,0,0,0,0,0,0,0,0,417.4898509979248
BPIC15_1-0.20.json.gz,0.1968174204355109,1.0,0.3289013296011197,0.1932509838754524,0,0,0,0,0,0,0,0,443.6531774997711
BPIC15_1-0.25.json.gz,0.2539682539682539,1.0,0.4050632911392405,0.2595672898354974,0,0,0,0,0,0,0,0,460.9832615852356
BPIC15_1-0.30.json.gz,0.3169307756463719,1.0,0.4813172894236858,0.3311904741801353,0,0,0,0,0,0,0,0,459.52048778533936
BPIC15_1-0.35.json.gz,0.353628023352794,1.0,0.5224892174984597,0.3574245937735669,0,0,0,0,0,0,0,0,477.0664145946503
BPIC15_1-0.40.json.gz,0.4153461217681401,1.0,0.5869180907483795,0.415727177492407,0,0,0,0,0,0,0,0,495.7439751625061
BPIC15_1-0.45.json.gz,0.4861693210393965,1.0,0.6542583192329385,0.4705345384800933,0,0,0,0,0,0,0,0,502.66942048072815
BPIC15_2-0.05.json.gz,0.0692307692307692,0.25,0.108433734939759,0.04722216157657,0,0,0,0,0,0,0,0,393.1772270202637
BPIC15_2-0.10.json.gz,0.1289398280802292,0.5555555555555556,0.2093023255813953,0.1055068309021044,0,0,0,0,0,0,0,0,400.3902792930603
BPIC15_2-0.15.json.gz,0.1500630517023959,0.9754098360655736,0.2601092896174864,0.1413442137440236,0,0,0,0,0,0,0,0,399.3790872097016
BPIC15_2-0.20.json.gz,0.1911764705882352,0.9936305732484076,0.3206577595066803,0.2001089387720712,0,0,0,0,0,0,0,0,398.86759066581726
BPIC15_2-0.25.json.gz,0.2710843373493976,1.0,0.4265402843601895,0.2602703274885048,0,0,0,0,0,0,0,0,409.9931697845459
BPIC15_2-0.30.json.gz,0.3273164861612515,1.0,0.4932003626473255,0.3101520620480106,0,0,0,0,0,0,0,0,451.1596624851227
BPIC15_2-0.35.json.gz,0.3216520650813517,0.9771863117870724,0.4839924670433144,0.3099504561649299,0,0,0,0,0,0,0,0,418.10355138778687
BPIC15_2-0.40.json.gz,0.394705174488568,1.0,0.5660051768766178,0.3954059817790338,0,0,0,0,0,0,0,0,432.7703101634979
BPIC15_2-0.45.json.gz,0.4771634615384615,1.0,0.646053702196908,0.4631940537064308,0,0,0,0,0,0,0,0,454.1668536663056
BPIC15_3-0.05.json.gz,0.0741626794258373,0.3734939759036144,0.12375249500998,0.0676228960533154,0,0,0,0,0,0,0,0,626.7222526073456
BPIC15_3-0.10.json.gz,0.1057906458797327,0.6737588652482269,0.1828681424446583,0.0941449703305933,0,0,0,0,0,0,0,0,605.2912383079529
BPIC15_3-0.15.json.gz,0.1595358955765047,0.990990990990991,0.2748282323547782,0.1683767950158543,0,0,0,0,0,0,0,0,622.21173620224
BPIC15_3-0.20.json.gz,0.2014545454545454,0.9857651245551602,0.3345410628019323,0.1917490419266936,0,0,0,0,0,0,0,0,640.8495938777924
BPIC15_3-0.25.json.gz,0.2642045454545454,1.0,0.4179775280898877,0.2530990768884007,0,0,0,0,0,0,0,0,680.8305931091309
BPIC15_3-0.30.json.gz,0.3051094890510949,0.9789227166276346,0.4652198107957708,0.2973167351194878,0,0,0,0,0,0,0,0,680.3360650539398
